cpu_bench_id,cpu_name,passmark,core,thread,tdp,rated_clock,max_clock,list_price,cost_performance,created_at,updated_at
182,Core i5 4460,4773,4,4,84,3.2,3.4,0,0,2021-11-12 12:14:00+09,2021-11-12 12:14:00+09
183,Athlon 240GE,4752,2,4,35,3.5,0,9000,0.53,2021-11-12 12:14:00+09,2021-11-12 12:14:00+09
184,Core i3 6320,4672,2,4,51,3.9,0,0,0,2021-11-12 12:14:00+09,2021-11-12 12:14:00+09
185,Core i5 3470,4668,4,4,77,3.2,3.6,0,0,2021-11-12 12:14:00+09,2021-11-12 12:14:00+09
186,Core i7 4712HQ,4666,4,8,37,2.3,3.3,0,0,2021-11-12 12:14:00+09,2021-11-12 12:14:00+09
187,Core i5 4430,4660,4,4,84,3,3.2,0,0,2021-11-12 12:14:00+09,2021-11-12 12:14:00+09
188,Athlon 3000G,4617,2,4,35,3.5,0,7800,0.59,2021-11-12 12:14:00+09,2021-11-12 12:14:00+09
189,Core i5 4440,4588,4,4,84,3.1,3.3,0,0,2021-11-12 12:14:00+09,2021-11-12 12:14:00+09
190,Core i5 6400T,4540,4,4,35,2.2,2.8,0,0,2021-11-12 12:14:00+09,2021-11-12 12:14:00+09
191,Pentium Gold G6605,4536,2,4,58,4.3,0,11500,0.39,2021-11-12 12:14:00+09,2021-11-12 12:14:00+09
192,Core i3 6300,4508,2,4,51,3.8,0,0,0,2021-11-12 12:14:00+09,2021-11-12 12:14:00+09
193,Core i5 7400T,4472,4,4,35,2.4,3,0,0,2021-11-12 12:14:00+09,2021-11-12 12:14:00+09
194,Athlon 220GE,4472,2,4,35,3.4,0,8400,0.53,2021-11-12 12:14:00+09,2021-11-12 12:14:00+09
195,Core i5 3450,4440,4,4,77,3.1,3.5,0,0,2021-11-12 12:14:00+09,2021-11-12 12:14:00+09
196,Core i7 2600S,4430,4,8,65,2.8,3.8,0,0,2021-11-12 12:14:00+09,2021-11-12 12:14:00+09
197,Core i5 4440S,4406,4,4,65,2.8,3.3,0,0,2021-11-12 12:14:00+09,2021-11-12 12:14:00+09
198,Core i3 7100,4366,2,4,51,3.9,0,0,0,2021-11-12 12:14:00+09,2021-11-12 12:14:00+09
199,Core i5 4430S,4320,4,4,65,2.7,3.2,0,0,2021-11-12 12:14:00+09,2021-11-12 12:14:00+09
200,Core i5 3470S,4304,4,4,65,2.9,3.6,0,0,2021-11-12 12:14:00+09,2021-11-12 12:14:00+09
201,Pentium Gold G6400,4271,2,4,58,4,0,6800,0.63,2021-11-12 12:14:00+09,2021-11-12 12:14:00+09
202,Core i3 6100,4183,2,4,51,3.7,0,0,0,2021-11-12 12:14:00+09,2021-11-12 12:14:00+09
203,Core i5 4590T,4146,4,4,35,2,3,0,0,2021-11-12 12:14:00+09,2021-11-12 12:14:00+09
204,Athlon 200GE,4138,2,4,35,3.2,0,7000,0.59,2021-11-12 12:14:00+09,2021-11-12 12:14:00+09
205,Core i3 6098P,4133,2,4,54,3.6,0,0,0,2021-11-12 12:14:00+09,2021-11-12 12:14:00+09
206,FX-6300,4110,6,6,95,3.5,4.1,0,0,2021-11-12 12:14:00+09,2021-11-12 12:14:00+09
207,Core i5 2500K,4097,4,4,95,3.3,3.7,0,0,2021-11-12 12:14:00+09,2021-11-12 12:14:00+09
208,Core i5 3330,4091,4,4,77,3,3.2,0,0,2021-11-12 12:14:00+09,2021-11-12 12:14:00+09
209,Core i3 6300T,4057,2,4,35,3.3,0,0,0,2021-11-12 12:14:00+09,2021-11-12 12:14:00+09
210,Pentium G5500,3984,2,4,54,3.8,0,9400,0.42,2021-11-12 12:14:00+09,2021-11-12 12:14:00+09
211,Core i3 4370,3956,2,4,54,3.8,0,0,0,2021-11-12 12:14:00+09,2021-11-12 12:14:00+09
212,Pentium G4620,3932,2,4,51,3.7,0,0,0,2021-11-12 12:14:00+09,2021-11-12 12:14:00+09
213,Pentium G5600,3880,2,4,54,3.9,0,8200,0.47,2021-11-12 12:14:00+09,2021-11-12 12:14:00+09
214,Core i5 3330S,3828,4,4,65,2.7,3.2,0,0,2021-11-12 12:14:00+09,2021-11-12 12:14:00+09
215,Pentium G5420,3801,2,4,54,3.8,0,6900,0.55,2021-11-12 12:14:00+09,2021-11-12 12:14:00+09
216,Core i5 2400,3799,4,4,95,3.1,3.4,0,0,2021-11-12 12:14:00+09,2021-11-12 12:14:00+09
217,Core i3 7100T,3732,2,4,35,3.4,0,0,0,2021-11-12 12:14:00+09,2021-11-12 12:14:00+09
218,Pentium G5400,3705,2,4,54,3.7,0,6900,0.54,2021-11-12 12:14:00+09,2021-11-12 12:14:00+09
219,Athlon X4 880K,3705,4,4,95,4,4.2,0,0,2021-11-12 12:14:00+09,2021-11-12 12:14:00+09
220,Core i3 6100T,3663,2,4,35,3.2,0,0,0,2021-11-12 12:14:00+09,2021-11-12 12:14:00+09
221,Core i3 4170,3645,2,4,54,3.7,0,0,0,2021-11-12 12:14:00+09,2021-11-12 12:14:00+09
222,Core i5 4460T,3627,4,4,35,1.9,2.7,0,0,2021-11-12 12:14:00+09,2021-11-12 12:14:00+09
223,A10-7870K,3612,4,4,95,3.9,4.1,0,0,2021-11-12 12:14:00+09,2021-11-12 12:14:00+09
224,A10-7890K,3611,4,4,95,4.1,4.3,0,0,2021-11-12 12:14:00+09,2021-11-12 12:14:00+09
225,Core i5 2320,3605,4,4,95,3,3.3,0,0,2021-11-12 12:14:00+09,2021-11-12 12:14:00+09
226,Core i5 2310,3592,4,4,95,2.9,3.2,0,0,2021-11-12 12:14:00+09,2021-11-12 12:14:00+09
227,Core i3 4360,3584,2,4,54,3.7,0,0,0,2021-11-12 12:14:00+09,2021-11-12 12:14:00+09
228,Pentium G4560,3575,2,4,54,3.5,0,0,0,2021-11-12 12:14:00+09,2021-11-12 12:14:00+09
229,Pentium G4600,3509,2,4,51,3.6,0,0,0,2021-11-12 12:14:00+09,2021-11-12 12:14:00+09
230,Core i3 4160,3449,2,4,54,3.6,0,0,0,2021-11-12 12:14:00+09,2021-11-12 12:14:00+09
231,A10-8750,3445,4,4,65,3.6,4,0,0,2021-11-12 12:14:00+09,2021-11-12 12:14:00+09
232,Core i3 4150,3377,2,4,54,3.5,0,0,0,2021-11-12 12:14:00+09,2021-11-12 12:14:00+09
233,A8-7670K,3360,4,4,95,3.6,3.9,0,0,2021-11-12 12:14:00+09,2021-11-12 12:14:00+09
234,A12-9800E,3289,4,4,35,3.1,3.8,0,0,2021-11-12 12:14:00+09,2021-11-12 12:14:00+09
235,A10-9700E,3267,4,4,35,3,3.5,0,0,2021-11-12 12:14:00+09,2021-11-12 12:14:00+09
236,Core i3 4130,3266,2,4,54,3.4,0,0,0,2021-11-12 12:14:00+09,2021-11-12 12:14:00+09
237,Phenom II X6 1065T,3230,6,6,95,2.9,3.4,0,0,2021-11-12 12:14:00+09,2021-11-12 12:14:00+09
238,Core i5 2400S,3223,4,4,65,2.5,3.3,0,0,2021-11-12 12:14:00+09,2021-11-12 12:14:00+09
239,Core i7 960,3197,4,8,130,3.2,3.46,0,0,2021-11-12 12:14:00+09,2021-11-12 12:14:00+09
